Sports Team,City,Sport/League,Net Worth,Championships,MVPs,Overall Record,Playoff Appearence,Lengedary Player,Pro team,Top league
Los Angeles Lakers,"Los Angeles, CA",NBA,5140000000,17,8 total (4 players),3428-2333-0,60,Kobe Bryant,Yes,Yes
Boston Celtics,"Boston, MA",NBA,3200000000,17,10 total (4 players),3463-2408-0,58,Bill Russell,Yes,Yes
Golden State Warriors,"San Francisco, CA",NBA,4700000000,6,3 total (2 players),2829-3031-0,35,Stephen Curry,Yes,Yes
San Francisco 49ers,"San Francisco, CA",NFL,4180000000,5,5 total (3 players),591-503-16,27,Joe Montana,Yes,Yes
New England Patriots,"Boston, MA",NFL,5000000000,6,3 total (1 player),500-391-9,27,Tom Brady,Yes,Yes
New York Yankees,"Bronx, NY",MLB,5250000000,27,22 total (13 players),10503-7937-0,56,Babe Ruth,Yes,Yes
St Louis Cardinals,"St Louis, MO",MLB,2250000000,11,20 total (16 players),11038-10163-0,30,Stan Musial,Yes,Yes
Dallas Cowboys,"Dallas, TX",NFL,6500000000,5,1 total (1 player),531-399-6,33,Roger Staubach,Yes,Yes
Montreal Canadians,"Montreal, Canada",NHL,1340000000,25,17 total (14 players),3474-2307-837,85,Maurice Richard,Yes,Yes
New York Jets,"New York, NY",NFL,4050000000,1,0,408-500-8,14,Joe Namath,Yes,Yes
Los Angeles Clippers,"Los Angeles, CA",NBA,2750000000,0,1 total (1 player),1706-2410-0,16,Bob McAdoo,Yes,Yes
Minesota Timberwolves,"Minneapolis, MN",NBA,1400000000,0,1 total (1 player),1005-1546-0,9,Kevin Garnett,Yes,Yes
